event_id,event_name,event_url,local_date,local_time,utc_datetime,timezone,status,segment,genre,subgenre,artists,venue_name,venue_id,address,city,state,state_code,postal_code,country_code,latitude,longitude,min_price,max_price,currency,image_url
ZFwVzcymWZ17k9pa,Chinese Laundry Invites C'EST LA VIE [FULL VENUE TAKEOVER] ft. KITTY AMOR [UK] + SIXTEN + PARTIGIRL,https://www.moshtix.com.au/v2/event/chinese-laundry-invites-c-est-la-vie-full-venue-takeover-ft-kitty-amor-uk-sixten-partigirl/197589,2026-08-22,21:00:00,2026-08-22T11:00:00Z,Australia/Sydney,onsale,Music,Dance/Electronic,Dance/Electronic,Chinese Laundry; Kitty Amor,Chinese Laundry,KovZ917ARtD,111 Sussex Street,Sydney,New South Wales,NSW,2000,AU,-33.86862391,151.20343274,,,,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg
ZFwVzcymWZ17kb8t,Miley Serious (FR) + Pluto,https://www.moshtix.com.au/v2/event/miley-serious-fr-pluto/198429,2026-08-22,21:00:00,2026-08-22T13:00:00Z,Australia/Perth,offsale,Music,Dance/Electronic,Dance/Electronic,Miley Serious; Pluto,,,,,,,,,,,,,,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg
ZFwVzcymWZ17kpkp,GARBAGEtv pres. CLUB ANGEL,https://www.moshtix.com.au/v2/event/garbagetv-pres-club-angel/196196,2026-08-22,21:00:00,2026-08-22T13:00:00Z,Australia/Perth,offsale,Music,Dance/Electronic,Dance/Electronic,Club Angel,The Rechabite,KovZ917Amke,224 William St,Perth,Western Australia,WA,6003,AU,-31.94844799,115.85985911,,,,https://s1.ticketm.net/dam/a/3ce/358dc766-bdb7-439a-b43b-76f7b0bb13ce_SOURCE
ZG9rmIYnyZdkv6,Giordano Mazzocchi | Pride Village 2026,https://www.ticketmaster.it/biglietti/giordano-mazzocchi-pride-village-2026-padova-22-08-2026/event/vs7zmv5wauuo,2026-08-22,19:30:00,2026-08-22T17:30:00Z,Europe/Rome,onsale,Music,Undefined,Undefined,Padova Pride Village,Arena Spettacoli - Fiera di Padova,ZG9rmIYnyZevA7,"Via Niccolò Tommaseo, 59",Padova,,,35131,IT,45.411731,11.893828,,,,https://s1.ticketm.net/dam/a/d42/2d0dbfbf-d49b-46a9-93ed-dfcde4dfad42_SOURCE
rZ7HnEZ1A4ZgZK,Chain Reaction: Chef Chel & BOY.A,https://www.ticketweb.com/event/chain-reaction-chef-chel-atomic-lounge-tickets/15035013,2026-08-21,22:00:00,2026-08-22T03:00:00Z,America/Chicago,offsale,Music,Other,,,Atomic Lounge,rZ7HnEZ17qpAf,4140 Manchester Ave,St. Louis,Missouri,MO,63110,US,38.62771370390,-90.25180028650,0.0,0.0,USD,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1A4vv-d,COPS N' ROBBERS 360 CAGE RAVE,https://www.ticketweb.com/event/cops-n-robbers-360-cage-the-forge-tickets/15041843,2026-08-21,22:00:00,2026-08-22T03:00:00Z,America/Chicago,offsale,Music,Dance/Electronic,Rave,,The Forge,rZ7HnEZ178Uv4,22 W. Cass St.,Joliet,Illinois,IL,60432,US,41.527733,-88.081972,,,,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfJ9-d,Bluebird Cafe Summer Open House,https://www.ticketweb.com/event/bluebird-cafe-summer-open-house-the-bluebird-cafe-tickets/14997843,2026-08-22,10:00:00,2026-08-22T15:00:00Z,America/Chicago,offsale,Music,Other,,,The Bluebird Cafe,rZ7HnEZ17fdZg,4104 Hillsboro Pike,Nashville,Tennessee,TN,37215,US,36.1016781,-86.8178113,,,,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfJ_rd,COUNTRY NIGHT 🤠 AFTER PARTY ,https://www.ticketweb.com/event/country-night-after-party-hard-rock-cafe-tickets/14999783,2026-08-21,22:00:00,2026-08-22T02:00:00Z,America/New_York,offsale,Music,Country,Alternative Country,,Hard Rock Cafe - Atlantic City,rZ7HnEZ17p84I,1000 Boardwalk,Atlantic City,New Jersey,NJ,08401,US,39.358715,-74.420528,0.0,35.36,USD,https://s1.ticketm.net/dam/c/677/c58dd0af-cda8-49b2-bdaf-068540c3a677_106541_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfJfFK,Lawrence Peters (DJ Set),https://www.ticketweb.com/event/lawrence-peters-dj-set-three-top-lounge-tickets/14994213,2026-08-21,22:00:00,2026-08-22T03:00:00Z,America/Chicago,offsale,Music,Country,Honky Tonk,,Three Top Lounge,rZ7HnEZ17_Skd,1357 N Elston Avenue,Chicago,Illinois,IL,60642,US,41.90673,-87.65923,0.0,0.0,USD,https://s1.ticketm.net/dam/c/677/c58dd0af-cda8-49b2-bdaf-068540c3a677_106541_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfOYed,Four Winds Weekend Pass,https://www.ticketweb.com/event/four-winds-weekend-pass-icon-events-dada-gastropub-tickets/14830083,2026-08-21,17:00:00,2026-08-21T22:00:00Z,America/Chicago,onsale,Music,Alternative,Alternative,,Icon Events & Dada Gastropub,rZ7HnEZ178xxA,402 N. Main Ave.,Sioux Falls,South Dakota,SD,59104,US,43.551280,-96.728270,51.18,51.18,USD,https://s1.ticketm.net/dam/c/f50/96fa13be-e395-429b-8558-a51bb9054f50_105951_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfOYvd,Four Winds Saturday,https://www.ticketweb.com/event/four-winds-saturday-icon-events-dada-gastropub-tickets/14830043,2026-08-22,14:00:00,2026-08-22T19:00:00Z,America/Chicago,offsale,Music,Alternative,Alternative,,Icon Events & Dada Gastropub,rZ7HnEZ178xxA,402 N. Main Ave.,Sioux Falls,South Dakota,SD,59104,US,43.551280,-96.728270,35.73,35.73,USD,https://s1.ticketm.net/dam/c/f50/96fa13be-e395-429b-8558-a51bb9054f50_105951_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfOsrd,FOUR WINDS MUSIC FEST,https://www.ticketweb.com/event/four-winds-music-fest-icon-events-dada-gastropub-tickets/14831783,2026-08-21,17:00:00,2026-08-21T22:00:00Z,America/Chicago,onsale,Music,Alternative,Alternative,,Icon Events & Dada Gastropub,rZ7HnEZ178xxA,402 N. Main Ave.,Sioux Falls,South Dakota,SD,59104,US,43.551280,-96.728270,35.73,143.88,USD,https://s1.ticketm.net/dam/c/f50/96fa13be-e395-429b-8558-a51bb9054f50_105951_TABLET_LANDSCAPE_LARGE_16_9.jpg
